"perc_matricula_epf";"perc_matricula_epm";"tx_distorcao_idade_serie_epf";"tx_distorcao_idade_serie_epm";"ideb_ai_ef";"ideb_ai_em";"perc_docente_epf";"perc_docente_epm";"tx_mortalidade_infantil";"tx_mortalidade_bruta";"perc_pop_cobertura_plano_saude";"perc_internacao_falha_aps";"perc_internacao_falha_saneamento";"vl_per_capita_bolsa_familia";"vl_per_capita_beneficio_prestacao_continuada";"perc_pop_cadunico_sem_abastecimento_agua";"perc_pop_cadunico_sem_esgotamento_sanitario";"perc_pop_cadunico_sem_coleta_lixo";"perc_pop_cadunico_sem_saneamento";"perc_pop_pobre_cadunico";"perc_pop_cadunico_bolsa_familia";"perc_pop_urbana_com_abastecimento_agua";"perc_participacao_queimadas_brasil";"cobertura_ab";"incidencia";"letalidade";"label"
85,83;93;21,6;40;5,9;4,7;78,7;78,3;14,52;4,99;24,02;21,92;1,51;68,64;175,14;22,56;34,11;2,15;1,12;89,14;67,93;89,71;0,18;51,68;2981,03896981783;4,55876795162509;"Severo"
98,7;100;26;44,4;5,1;4,3;30,7;76,3;21,23;2,89;0,24;30,5;3,55;180;191,39;57,41;91,45;52,17;49,07;94,68;86,46;100;4,81;75,4;2791,18227681509;2,35756385068762;"Grave"
100;100;20,3;49,1;5,7;4,2;34,4;79,6;15,02;3,5;0,52;35,34;3,6;186,07;171,95;30,69;42,05;22,12;16,18;94,21;84,71;100;0,07;100;2851,6087377596;1,69811320754717;"Grave"
97,82;100;16,1;30;5,8;4,7;53,5;78,5;22,91;3,72;0,72;14,56;1,38;215,41;201,54;22,94;63,05;36,43;20,18;95,97;90,2;100;0,33;98,08;5492,30444866119;2,30326295585413;"Grave"
99,27;100;30,8;51,7;5;4,7;57,9;67,7;9,56;2,43;2,3;38,31;3,75;158,67;154,76;48,98;32,88;30,64;17,98;92,18;81,73;97,48;0,31;100;7103,60386417539;1,18078175895765;"Grave"
99,18;100;27,8;48,8;4,5;4;18;27,7;34,6;5,77;0,52;30,97;1,88;307,95;104,43;62,07;68,14;50,61;48,82;97,79;83,77;89,28;0,19;53,89;10160,9319237762;1,28120167881599;"Grave"
100;100;36;61,9;4,4;4,2;25,4;53;18,02;2,63;0,27;27,25;1,07;263,63;94,71;70,27;75,21;97,92;64,52;96,23;87,31;62,39;0,1;100;5314,47945961574;1,28585558852621;"Grave"
100;100;26,7;52,9;5,2;4,3;52,7;57,9;19,42;1,71;0,08;43,04;5,47;177,44;93,38;18,02;98,42;27,98;15,94;92,02;79,32;95,23;0,09;100;4895,31331495418;1,06544901065449;"Grave"
100;100;22,1;52;4,4;4,6;43,5;76;8,13;3,15;0,24;59,62;18,02;388,01;51,32;47,37;50,66;44,99;38,04;93,74;88,71;100;0,1;100;5851,69905547715;0,927643784786642;"Grave"
98,59;100;26,8;53,7;4,6;3,6;46;59,2;22,93;3,49;0,54;19,15;0,24;161,56;230,74;54,67;72,33;28,64;25,29;95,89;85,35;49,05;0,07;79,55;3047,06529425631;4,28055698813822;"Severo"
98,52;100;29,1;41,4;4,6;4,5;56;75,1;18,72;4,3;1,02;28,28;2,32;245,6;371,87;27,31;63,88;35,49;20,05;96,42;88,62;100;0,49;100;6504,24856097128;2,33019335647001;"Grave"
100;100;33,3;56,1;3,7;3,6;34,7;70,2;15,28;1,65;0,18;20,22;2,21;321,25;63,56;83,97;85,86;57,5;48,25;95,86;91,32;87,27;0,04;100;3455,4360557981;2,4653312788906;"Grave"
100;100;20,8;49,8;5,3;4,6;29,7;65,8;11,11;3,36;0,54;43,43;9,29;302,63;173,27;14,52;94,41;25,87;12,88;94,79;88,71;100;0,09;100;4685,28995756719;1,25786163522013;"Grave"
100;100;27;37;4,6;3,9;11,4;33,6;28,17;5,8;0,24;28,16;3,62;209;22,11;35,4;45;64,55;24,52;93,79;80,74;100;0,4;100;3970,58823529412;3,48583877995643;"Severo"
100;100;31,3;26;4,6;3,6;19,6;19,6;34,22;8,35;0,36;37,33;4,41;291,51;87,79;46,04;66,36;61,64;37,86;96,76;85,19;100;0,28;100;4299,25312245026;2,48175182481752;"Grave"
86,12;91;16,5;27,1;5,8;4,2;62,5;65;11,93;4,65;8,53;17,82;0,96;78,57;220,8;6,28;51;4,73;3;83,09;54,36;100;0,72;57,05;12887,7778447082;1,16616031783127;"Grave"
100;100;27,8;28,9;4,5;3,7;29,1;24,7;31,83;5,78;0,28;29,1;3,25;364,09;92,33;36,74;59,6;64;32,33;94,59;83,55;100;0,61;100;7634,99372122227;1,42543859649123;"Grave"
100;100;33,4;39,2;4,5;3,5;36,2;45,9;44,23;4,47;0,72;21,49;0,94;247,62;168,53;31,5;57,78;38,87;27,07;92,56;82,44;98;0,44;100;6060,46042197337;1,34813639968279;"Grave"
100;100;25,9;32,2;4,5;3,4;53,1;36;16,39;4,11;0,2;33,83;2,78;221,4;21,24;55,65;33,17;55,77;27,82;90,58;77,27;100;0,38;100;10544,6118192352;0,799200799200799;"Grave"
