IBGE;População;Cobertura AB
210580;10808;100,00
210594;8889;100,00
210590;16199;100,00
210592;11235;100,00
210596;11320;100,00
210598;7496;100,00
210600;11867;100,00
210610;12098;100,00
210620;6917;100,00
210630;19620;100,00
210632;21201;97,64
210635;7810;88,35
210637;16013;100,00
210640;16679;100,00
210650;23256;100,00
210660;33615;100,00
210663;16451;100,00
210667;8445;100,00
210670;21000;100,00
210675;28001;98,57
210680;14913;100,00
210690;33201;93,52
210700;9209;100,00
210710;19292;100,00
210720;14264;100,00
210725;5340;100,00
210730;4683;100,00
210735;20774;99,64
210740;19448;100,00
210745;14563;100,00
210750;120621;59,69
210760;19661;100,00
210770;21290;100,00
210780;34805;100,00
210790;18898;100,00
210800;19358;100,00
210805;15901;100,00
210810;21015;98,50
210820;39267;100,00
210825;24930;100,00
210830;38203;100,00
210840;14291;100,00
210845;23025;100,00
210850;32815;100,00
210860;82990;99,77
210870;21594;100,00
210880;18527;100,00
210890;18157;100,00
210900;23675;100,00
210905;5995;100,00
210910;47567;100,00
210920;12629;100,00
210923;6959;100,00
210927;18764;100,00
210930;11124;100,00
210940;15197;100,00
210945;30337;100,00
210950;20243;100,00
210955;7755;100,00
210960;42482;100,00
210970;5663;100,00
210975;7719;100,00
210980;41770;100,00
210990;88590;95,83
211000;72440;100,00
211003;25134;100,00
211010;25519;100,00
211020;37404;100,00
211023;13223;100,00
211027;15654;100,00
211030;14534;100,00
211040;18608;100,00
211050;44811;100,00
211060;28343;100,00
211065;7363;100,00
211070;34368;100,00
211080;4609;100,00
211085;11652;88,83
211090;12201;100,00
211100;20629;100,00
211102;15828;100,00
211105;11162;100,00
211107;18438;100,00
211110;25860;100,00
211120;176321;91,96
211125;7642;100,00
211130;1094667;44,13
211140;18988;100,00
211150;41350;100,00
211153;12645;54,57
211157;4651;100,00
211160;18755;100,00
211163;5345;100,00
211167;6649;100,00
211170;22142;100,00
211172;13730;100,00
211174;11067;100,00
211176;14367;100,00
211178;10206;100,00
211180;18001;100,00
211190;10639;100,00
211195;5645;100,00
211200;8459;100,00
211210;29064;59,35
211220;167973;100,00
211223;21885;100,00
211227;5826;100,00
211230;41621;100,00
211240;35497;87,47
211245;25365;100,00
211250;58311;94,66
211260;32775;100,00
211270;55841;80,32
211280;52229;100,00
211285;13183;100,00
211290;32664;100,00
211300;31525;100,00
